time,queue_length,active_servers
1.0,7,5
2.0,8,5
3.0,14,5
4.0,23,5
5.0,25,5
6.0,30,4
7.0,34,5
8.0,41,5
9.0,45,5
10.0,52,4
11.0,54,5
12.0,60,5
13.0,68,4
14.0,71,5
15.0,79,5
16.0,80,5
17.0,82,5
18.0,87,4
19.0,94,4
20.0,94,5
21.0,92,5
22.0,98,4
23.0,107,4
24.0,112,4
25.0,114,4
26.0,122,5
27.0,129,5
28.0,137,5
29.0,141,5
30.0,152,4
31.0,156,4
32.0,160,4
33.0,170,3
34.0,181,4
35.0,189,5
36.0,199,4
37.0,207,4
38.0,210,5
39.0,220,5
40.0,224,5
41.0,226,5
42.0,231,4
43.0,240,4
44.0,251,4
45.0,254,5
46.0,257,5
47.0,261,5
48.0,262,5
49.0,273,5
50.0,278,5
51.0,291,5
52.0,296,5
53.0,299,5
54.0,305,5
55.0,306,4
56.0,318,4
57.0,320,4
58.0,323,4
59.0,328,5
60.0,334,5
61.0,337,5
62.0,344,5
63.0,349,5
64.0,357,4
65.0,365,4
66.0,377,4
67.0,381,4
68.0,383,5
69.0,391,5
70.0,396,5
71.0,407,5
72.0,410,5
73.0,416,5
74.0,422,5
75.0,422,5
76.0,427,5
77.0,434,5
78.0,442,5
79.0,446,5
80.0,456,3
81.0,464,3
82.0,468,2
83.0,473,3
84.0,482,4
85.0,488,5
86.0,490,5
87.0,493,5
88.0,499,5
89.0,510,5
90.0,515,4
91.0,526,4
92.0,527,5
93.0,539,5
94.0,547,4
95.0,548,5
96.0,558,5
97.0,565,5
98.0,569,5
99.0,574,5
100.0,582,5
101.0,592,5
102.0,596,5
103.0,602,5
104.0,609,4
105.0,612,5
106.0,608,5
107.0,618,4
108.0,620,4
109.0,631,4
110.0,637,5
111.0,642,5
112.0,649,4
113.0,660,4
114.0,665,4
115.0,670,4
116.0,671,5
117.0,677,5
118.0,687,4
119.0,699,5
120.0,704,5
121.0,708,5
122.0,714,4
123.0,714,4
124.0,720,5
125.0,726,5
126.0,727,5
127.0,734,4
128.0,741,4
129.0,746,4
130.0,751,5
131.0,757,5
132.0,768,5
133.0,772,5
134.0,777,5
135.0,788,5
136.0,790,5
137.0,792,4
138.0,793,4
139.0,794,4
140.0,805,4
141.0,815,4
142.0,818,5
143.0,826,5
144.0,830,5
145.0,839,5
146.0,848,5
147.0,853,5
148.0,857,5
149.0,867,5
150.0,880,5
151.0,888,5
152.0,891,5
153.0,892,5
154.0,898,4
155.0,902,4
156.0,903,5
157.0,911,4
158.0,912,4
159.0,920,4
160.0,925,4
161.0,931,4
162.0,942,3
163.0,947,4
164.0,947,5
165.0,945,5
166.0,952,5
167.0,967,4
168.0,970,5
169.0,976,5
170.0,980,5
171.0,980,4
172.0,985,5
173.0,992,3
174.0,997,5
175.0,1003,5
176.0,1010,5
