event_type,time
failure,1.0
arrival,1.0
arrival,1.0
arrival,1.0
arrival,1.0
arrival,1.0
arrival,1.0
arrival,1.0
arrival,1.0
arrival,1.0
arrival,1.0
arrival,1.0
arrival,1.0
arrival,2.0
arrival,2.0
arrival,2.0
arrival,2.0
arrival,2.0
arrival,2.0
completion,2.0
completion,2.0
completion,2.0
arrival,3.0
arrival,3.0
arrival,3.0
arrival,3.0
arrival,3.0
arrival,3.0
arrival,3.0
arrival,3.0
arrival,3.0
arrival,3.0
arrival,3.0
completion,3.0
completion,3.0
completion,3.0
completion,3.0
failure,4.0
arrival,4.0
arrival,4.0
arrival,4.0
arrival,4.0
arrival,4.0
arrival,4.0
arrival,4.0
arrival,4.0
arrival,4.0
arrival,4.0
arrival,4.0
arrival,4.0
arrival,4.0
arrival,4.0
completion,4.0
completion,4.0
completion,4.0
recovery,5.0
recovery,5.0
arrival,5.0
arrival,5.0
arrival,5.0
arrival,5.0
arrival,5.0
arrival,5.0
arrival,5.0
completion,5.0
completion,5.0
completion,5.0
failure,6.0
arrival,6.0
arrival,6.0
arrival,6.0
arrival,6.0
arrival,6.0
arrival,6.0
arrival,6.0
arrival,6.0
completion,6.0
completion,6.0
completion,6.0
completion,6.0
arrival,7.0
arrival,7.0
arrival,7.0
arrival,7.0
arrival,7.0
arrival,7.0
arrival,7.0
arrival,7.0
arrival,7.0
completion,7.0
completion,7.0
completion,7.0
completion,7.0
recovery,8.0
arrival,8.0
arrival,8.0
arrival,8.0
arrival,8.0
arrival,8.0
arrival,8.0
arrival,8.0
arrival,8.0
arrival,8.0
arrival,8.0
arrival,8.0
completion,8.0
completion,8.0
completion,8.0
completion,8.0
arrival,9.0
arrival,9.0
arrival,9.0
arrival,9.0
arrival,9.0
arrival,9.0
arrival,9.0
arrival,9.0
completion,9.0
completion,9.0
completion,9.0
completion,9.0
completion,9.0
arrival,10.0
arrival,10.0
arrival,10.0
arrival,10.0
arrival,10.0
arrival,10.0
arrival,10.0
arrival,10.0
arrival,10.0
arrival,10.0
completion,10.0
completion,10.0
completion,10.0
completion,10.0
arrival,11.0
arrival,11.0
arrival,11.0
arrival,11.0
arrival,11.0
arrival,11.0
arrival,11.0
completion,11.0
completion,11.0
completion,11.0
completion,11.0
completion,11.0
arrival,12.0
