time,queue_length,active_servers
1.0,7,5
2.0,8,5
3.0,14,5
4.0,23,5
5.0,25,5
6.0,31,4
7.0,35,5
8.0,41,5
9.0,45,5
10.0,50,5
11.0,54,4
12.0,61,4
13.0,68,4
14.0,72,4
15.0,82,3
16.0,84,4
17.0,87,4
18.0,91,5
19.0,96,5
20.0,96,5
21.0,94,5
22.0,99,5
23.0,109,5
24.0,112,5
25.0,115,5
26.0,123,5
27.0,130,5
28.0,138,5
29.0,145,4
30.0,155,4
31.0,158,5
32.0,161,5
33.0,168,5
34.0,180,4
35.0,189,4
36.0,198,5
37.0,206,4
38.0,210,4
39.0,221,4
40.0,225,5
41.0,227,5
42.0,232,4
43.0,241,4
44.0,251,5
45.0,256,4
46.0,259,4
47.0,265,4
48.0,266,5
49.0,278,5
50.0,285,4
51.0,301,3
52.0,307,4
53.0,311,4
54.0,318,4
55.0,317,4
56.0,329,4
57.0,331,4
58.0,333,5
59.0,337,5
60.0,343,5
61.0,348,4
62.0,356,4
63.0,361,5
64.0,367,5
65.0,374,5
66.0,389,3
67.0,393,4
68.0,396,4
69.0,405,5
70.0,410,5
71.0,420,5
72.0,423,5
73.0,429,5
74.0,435,5
75.0,435,5
76.0,440,5
77.0,448,4
78.0,458,4
79.0,463,4
80.0,470,4
81.0,476,5
82.0,476,5
83.0,479,5
84.0,489,5
85.0,495,5
86.0,497,5
87.0,501,5
88.0,511,3
89.0,523,3
90.0,528,3
91.0,539,3
92.0,541,4
93.0,552,5
94.0,560,4
95.0,563,4
96.0,573,4
97.0,580,5
98.0,587,4
99.0,594,4
100.0,603,4
101.0,614,4
102.0,618,5
103.0,628,3
104.0,635,3
105.0,640,4
106.0,642,2
107.0,655,1
108.0,659,2
109.0,672,1
110.0,680,3
111.0,687,3
112.0,694,3
113.0,704,3
114.0,708,5
115.0,712,5
116.0,713,5
117.0,718,5
118.0,725,5
119.0,737,5
120.0,742,5
121.0,748,4
122.0,753,4
123.0,752,5
124.0,757,5
125.0,763,5
126.0,766,5
127.0,770,5
128.0,776,5
129.0,780,5
130.0,786,5
131.0,792,5
132.0,803,5
133.0,807,5
134.0,812,5
135.0,825,4
136.0,830,3
137.0,830,5
138.0,832,4
139.0,832,4
140.0,841,5
141.0,850,5
142.0,853,5
143.0,860,5
144.0,864,5
145.0,875,4
146.0,885,3
147.0,891,4
148.0,895,5
149.0,905,5
150.0,917,5
151.0,923,5
152.0,927,5
153.0,929,4
154.0,934,5
155.0,938,5
156.0,939,5
157.0,947,4
158.0,949,4
159.0,957,4
160.0,961,5
161.0,966,5
162.0,974,5
163.0,978,5
164.0,980,5
165.0,979,5
166.0,988,4
167.0,1002,4
168.0,1006,4
169.0,1013,5
170.0,1017,5
171.0,1015,5
172.0,1022,4
173.0,1025,5
174.0,1030,5
175.0,1036,5
